[2026-09-18T04:14:16.599Z] GET http://localhost:5250/app/locales/en/orders.ts → 200 (16ms, 11157B)
[2026-09-18T04:14:16.600Z] GET http://localhost:5250/app/locales/sw/auth.ts → 200 (15ms, 8506B)
[2026-09-18T04:14:16.600Z] GET http://localhost:5250/app/locales/sw/common.ts → 200 (15ms, 2455B)
[2026-09-18T04:14:16.600Z] GET http://localhost:5250/app/locales/sw/nav.ts → 200 (15ms, 798B)
[2026-09-18T04:14:16.600Z] GET http://localhost:5250/app/locales/sw/catalogue.ts → 200 (38ms, 8444B)
[2026-09-18T04:14:16.600Z] GET http://localhost:5250/app/locales/sw/trees.ts → 200 (15ms, 7585B)
[2026-09-18T04:14:16.601Z] GET http://localhost:5250/app/locales/sw/commercial.ts → 200 (15ms, 17141B)
[2026-09-18T04:14:16.601Z] GET http://localhost:5250/app/locales/sw/checkout.ts → 200 (15ms, 9054B)
[2026-09-18T04:14:16.601Z] GET http://localhost:5250/app/locales/sw/orders.ts → 200 (15ms, 9017B)
[2026-09-18T04:14:16.677Z] GET http://localhost:5250/node_modules/.vite/deps/react-dom_client.js?v=62e8003a → 200 (18ms, 2819504B)
[2026-09-18T04:14:16.677Z] GET http://localhost:5250/node_modules/.vite/deps/react-router_dom.js?v=62e8003a → 200 (9ms, 105827B)
[2026-09-18T04:14:16.775Z] GET http://localhost:5250/__manifest?paths=%2Flogin&version=0.7218286195226539 → 200 (?ms, 505B)
[2026-09-18T04:14:16.777Z] GET http://localhost:5250/node_modules/@fontsource-variable/instrument-sans/files/instrument-sans-latin-wght-normal.woff2 → 304 (?ms, ?B)
[2026-09-18T04:14:18.624Z] GET http://localhost:5250/login → 200 (11ms, 6428B)
[2026-09-18T04:14:18.639Z] GET http://localhost:5250/brand/otesha-logo.png → 304 (?ms, ?B)
[2026-09-18T04:14:18.639Z] GET http://localhost:5250/node_modules/@react-router/dev/dist/config/defaults/entry.client.tsx → 304 (?ms, ?B)
[2026-09-18T04:14:18.639Z] GET http://localhost:5250/app/root.tsx → 304 (1ms, ?B)
[2026-09-18T04:14:18.639Z] GET http://localhost:5250/app/routes/login.tsx → 304 (1ms, ?B)
[2026-09-18T04:14:18.639Z] GET http://localhost:5250/@react-router/critical.css?pathname=/login → 200 (5ms, 61848B)
[2026-09-18T04:14:18.644Z] GET http://localhost:5250/@id/__x00__virtual:react-router/inject-hmr-runtime → 304 (8ms, ?B)
[2026-09-18T04:14:18.645Z] GET http://localhost:5250/node_modules/@fontsource-variable/instrument-sans/files/instrument-sans-latin-wght-normal.woff2 → 304 (8ms, ?B)
[2026-09-18T04:14:18.646Z] GET http://localhost:5250/@vite/client → 304 (8ms, ?B)
[2026-09-18T04:14:18.646Z] GET http://localhost:5250/@id/__x00__virtual:react-router/hmr-runtime → 304 (8ms, ?B)
[2026-09-18T04:14:18.646Z] GET http://localhost:5250/node_modules/.vite/deps/react-router.js?v=62e8003a → 200 (?ms, 25889B)
[2026-09-18T04:14:18.647Z] GET http://localhost:5250/node_modules/.vite/deps/sonner.js?v=62e8003a → 200 (?ms, 173673B)
[2026-09-18T04:14:18.647Z] GET http://localhost:5250/app/providers/theme.tsx → 304 (7ms, ?B)
[2026-09-18T04:14:18.647Z] GET http://localhost:5250/app/providers/preview.tsx → 304 (7ms, ?B)
[2026-09-18T04:14:18.647Z] GET http://localhost:5250/app/lib/i18n.ts → 304 (7ms, ?B)
[2026-09-18T04:14:18.647Z] GET http://localhost:5250/app/app.css → 304 (8ms, ?B)
[2026-09-18T04:14:18.647Z] GET http://localhost:5250/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=62e8003a → 200 (2ms, 34713B)
[2026-09-18T04:14:18.649Z] GET http://localhost:5250/node_modules/.vite/deps/react-i18next.js?v=62e8003a → 200 (?ms, 185055B)
[2026-09-18T04:14:18.649Z] GET http://localhost:5250/app/components/LanguageToggle.tsx → 304 (5ms, ?B)
[2026-09-18T04:14:18.651Z] GET http://localhost:5250/app/hooks/useCountdown.ts → 304 (3ms, ?B)
[2026-09-18T04:14:18.651Z] GET http://localhost:5250/app/components/ui/button.tsx → 304 (5ms, ?B)
[2026-09-18T04:14:18.651Z] GET http://localhost:5250/app/components/ui/countdown-ring.tsx → 304 (5ms, ?B)
[2026-09-18T04:14:18.651Z] GET http://localhost:5250/app/components/ui/field.tsx → 304 (5ms, ?B)
[2026-09-18T04:14:18.651Z] GET http://localhost:5250/app/components/ui/input.tsx → 304 (5ms, ?B)
[2026-09-18T04:14:18.651Z] GET http://localhost:5250/app/components/ui/otp-input.tsx → 304 (5ms, ?B)
[2026-09-18T04:14:18.652Z] GET http://localhost:5250/app/lib/utils.ts → 304 (4ms, ?B)
[2026-09-18T04:14:18.653Z] GET http://localhost:5250/node_modules/.vite/deps/development-VnGdt2rT.js?v=62e8003a → 200 (?ms, 1568277B)
[2026-09-18T04:14:18.653Z] GET http://localhost:5250/node_modules/.vite/deps/rolldown-runtime-DC62tzP2.js?v=62e8003a → 200 (?ms, 7824B)
[2026-09-18T04:14:18.653Z] GET http://localhost:5250/node_modules/.vite/deps/react.js?v=62e8003a → 200 (?ms, 130087B)
[2026-09-18T04:14:18.653Z] GET http://localhost:5250/node_modules/.vite/deps/react-dom.js?v=62e8003a → 200 (?ms, 48830B)
[2026-09-18T04:14:18.653Z] GET http://localhost:5250/node_modules/.vite/deps/i18next.js?v=62e8003a → 200 (?ms, 255810B)
[2026-09-18T04:14:18.654Z] GET http://localhost:5250/node_modules/vite/dist/client/env.mjs → 304 (2ms, ?B)
